,cash,asset_value,total_assets,reward,date
0,1000000.0,0.0,1000000.0,0.0,2019-01-03
1,966564.03069301,33482.190298038484,1000046.2209910485,4.6220991048562254e-05,2019-01-04
2,937867.6353262042,63771.07106409979,1001638.706390304,0.0016387063903040566,2019-01-07
3,893689.7650881549,108059.17816312694,1001748.9432512819,0.0017489432512818315,2019-01-08
4,872285.4800046965,128923.96302384936,1001209.4430285459,0.0012094430285458646,2019-01-09
5,840957.0538111511,162779.47028243245,1003736.5240935835,0.003736524093583382,2019-01-10
6,809718.818454357,193200.88956785016,1002919.7080222071,0.0029197080222072014,2019-01-11
7,790088.2908812751,214386.22498115685,1004474.515862432,0.004474515862431971,2019-01-14
8,765679.6478517799,236135.61206901525,1001815.2599207952,0.0018152599207952314,2019-01-15
9,747459.9469439468,262724.860879382,1010184.8078233288,0.010184807823328867,2019-01-16
10,728623.125136893,281898.19714088336,1010521.3222777764,0.010521322277776468,2019-01-17
11,705854.848468001,303821.8912096261,1009676.7396776271,0.009676739677627166,2019-01-18
12,691664.7965332512,321052.9106062521,1012717.7071395032,0.012717707139503265,2019-01-21
13,667617.9811440769,347717.02220766945,1015335.0033517464,0.015335003351746312,2019-01-22
14,646756.3559861665,361776.9121131191,1008533.2680992857,0.008533268099285563,2019-01-23
15,636033.7518130498,371202.23254416307,1007235.9843572129,0.0072359843572129545,2019-01-24
16,597667.8462378166,412658.8388145766,1010326.6850523932,0.010326685052393314,2019-01-25
17,576466.1561187879,438005.7477019573,1014471.9038207452,0.014471903820745258,2019-01-28
18,558386.2757429923,456129.9475889536,1014516.223331946,0.014516223331946021,2019-01-29
19,533525.6475090911,486070.28201277915,1019595.9295218702,0.01959592952187017,2019-01-30
20,507214.16832646786,506928.2609406852,1014142.4292671531,0.014142429267153034,2019-01-31
21,482040.5159073733,537567.6437091164,1019608.1596164897,0.01960815961648965,2019-02-01
22,451750.35721914115,575748.0508953299,1027498.408114471,0.027498408114470907,2019-02-11
23,420577.31630666397,622405.4455640501,1042982.7618707141,0.04298276187071415,2019-02-12
24,399858.36520095443,642314.082679696,1042172.4478806504,0.04217244788065044,2019-02-13
25,381554.65354259097,676338.0930638656,1057892.7466064566,0.05789274660645649,2019-02-14
