,date,actions,transactions
0,2019-01-03,"0     0.200147
1     0.398837
2    -0.249684
3    -0.222411
4     0.200000
5    -0.600000
6     0.362696
7     0.172771
8     0.001456
9    -0.304573
10   -1.000000
11    0.130619
12    0.342046
13    0.533413
14    0.410167
15    0.007051
16   -0.266100
17    0.438618
18    0.698906
19    0.489102
20    0.516263
21   -0.300953
22   -0.075410
23    0.060968
24   -0.387003
25   -0.075253
26   -0.600000
27    0.392252
28    0.120686
29    0.600000
30   -0.136665
31   -0.155415
32    0.284780
33   -0.109278
34   -0.600000
35   -0.255037
36    0.141692
37    0.631134
38    0.970750
39   -0.240118
40   -0.600000
41    0.177724
42    0.067664
43    0.357757
44   -0.582517
45    0.330702
46   -0.799389
47    0.059843
48    0.722930
49    0.206563
dtype: float32","[112.17095184  40.29138565   0.           0.           0.
   0.          78.13223267  81.09352112   1.43731689   0.
   0.          17.85077858  65.12713623   4.57121658 132.36224365
   1.18937838   0.         172.43031311 269.66036987 224.68235779
 123.44638062   0.           0.           0.           0.
   0.           0.         173.30056763  44.47521591 292.79147339
   0.           0.         445.37240601   0.           0.
   0.         149.69735718 123.1197052  249.39888      0.
   0.           0.         102.22372437 266.26712036   0.
  22.82294655   0.           5.4388957  125.14100647  24.29866982]"
1,2019-01-04,"0     0.341056
1     0.200000
2     0.094059
3    -0.200406
4     0.200000
5    -0.237685
6    -0.181213
7    -0.027816
8    -0.240788
9    -0.054575
10    0.026556
11    0.086145
12   -0.025127
13    0.954665
14    0.398748
15    0.119206
16   -0.491591
17   -0.072504
18    0.230327
19    0.929013
20   -0.499370
21   -0.376937
22   -0.176095
23    0.112690
24    0.489180
25   -0.418304
26   -0.496188
27    0.185080
28   -0.218119
29    0.319036
30    0.149324
31    0.368019
32    0.758492
33    0.238476
34    0.118135
35   -0.133648
36    0.915096
37   -0.301806
38    0.909666
39   -0.191509
40   -0.900159
41   -0.334541
42    0.482490
43   -0.200000
44    0.125676
45    0.600000
46   -0.342028
47   -0.111845
48    0.950474
49    0.323181
dtype: float32","[ 189.00091553   20.48085022   93.06089783    0.            0.
    0.          -38.5506134   -12.84730434   -1.43731689    0.
    6.44980574   12.21086788   -4.93880129    8.30576801  126.23549652
   19.88666916    0.          -27.77658844   89.39589691  433.38909912
 -123.44638062    0.            0.            0.          175.35598755
    0.            0.           82.33841705  -44.47521591  154.96192932
   49.08347321    0.         1179.54040527   22.53521919  112.6553421
    0.          966.79998779  -57.75824356  231.27055359    0.
    0.            0.          709.48114014 -147.82183838   11.14065075
   41.71127319    0.           -5.4388957   167.5925293    38.40220642]"
2,2019-01-07,"0     0.241577
1    -0.157808
2    -0.539572
3    -0.135586
4     0.200000
5    -0.283720
6    -0.119409
7     0.312061
8     0.185923
9    -0.408844
10   -0.335113
11    0.144197
12    0.374973
13    0.577131
14    0.303286
15    0.387089
16    0.013972
17   -0.270317
18    0.765760
19    0.672968
20    0.006972
21   -0.600762
22   -0.137316
23   -0.130054
24   -0.054782
25   -0.211685
26   -0.059380
27    0.145831
28   -0.365115
29    0.316306
30   -0.564446
31    0.175082
32    0.187803
33    0.142679
34    0.076248
35   -0.295683
36    0.388171
37    0.002616
38    0.730546
39    0.200000
40   -0.414763
41   -0.557010
42   -0.059538
43    0.326823
44   -0.326220
45    0.510508
46   -0.690784
47   -0.022320
48    0.349863
49   -0.044086
dtype: float32","[131.8565979  -16.12132645 -93.06089783   0.           0.
   0.         -24.77534294 140.24337769 182.44587708   0.
  -6.44980574  19.20601845  71.37147522   4.92105675  96.16896057
  61.86419678   2.66153789 -98.5801239  294.14974976 308.03973389
   1.69542766   0.           0.           0.         -19.13412857
   0.           0.          64.15299225   0.         149.19813538
 -49.08347321   0.         287.98022461  13.26596737  69.36576843
   0.         404.65710449   0.48249841 182.74053955 186.36549377
   0.           0.         -85.49585724 238.90953064 -11.14065075
  35.45072937   0.           0.          59.88071442  -5.1066103 ]"
3,2019-01-08,"0     0.000928
1     0.047858
2    -0.213041
3    -0.503125
4    -0.443323
5     0.223942
6    -0.271558
7     0.440299
8    -0.014394
9    -0.211735
10   -0.200000
11    0.094502
12    0.263056
13    0.699869
14    0.040306
15    0.979278
16    0.019501
17   -0.171935
18    0.519946
19    0.544261
20    0.363620
21   -0.020397
22   -0.061757
23   -0.122991
24    0.087473
25   -0.158661
26   -0.563634
27    0.087455
28   -0.377045
29    0.228755
30    0.064677
31    0.118710
32    0.144633
33    0.041431
34    0.224297
35   -0.091550
36    0.186113
37    0.086782
38    0.324226
39    0.200000
40   -0.367945
41   -0.777998
42   -0.285698
43    0.259271
44    0.200000
45    0.690838
46   -0.062633
47   -0.055798
48    0.714302
49    0.215309
dtype: float32","[   0.50561672    4.89301491    0.            0.            0.
  142.89653015  -14.80627632  199.01429749  -13.93681431    0.
    0.           12.77022839   49.54706955    5.93321848   12.83856487
  150.98612976    3.63539648  -46.07360077  202.25527954  243.88583374
   86.65739441    0.            0.            0.           29.74034309
    0.            0.           38.1775322     0.          107.03205109
   19.99416161    0.          223.02656555    3.87201524  207.3518219
    0.          195.12762451   16.35611153   82.14487457  186.03959656
    0.            0.         -410.2611084   188.74986267   17.38734245
   47.03256607    0.            0.          116.95301056   24.07920265]"
4,2019-01-09,"0    -0.005412
1     0.551032
2    -0.332998
3    -0.456288
4    -0.410949
5    -0.125113
6    -0.006199
7    -0.200000
8    -0.600000
9    -0.181547
10   -0.731313
11   -0.188243
12    0.199604
13    0.961875
14    0.151658
15    0.882591
16   -0.479673
17    0.094567
18    0.816498
19    0.709552
20    0.139696
21    0.090043
22   -0.373629
23    0.200000
24   -0.231105
25    0.191964
26   -0.327319
27    0.483116
28   -0.364800
29    0.100134
30    0.155326
31   -0.097069
32    0.153188
33   -0.034687
34    0.150822
35   -0.239422
36    0.393296
37    0.295033
38    0.588079
39    0.103114
40   -0.524656
41   -0.205291
42   -0.274691
43   -0.105423
44   -0.403902
45    0.520739
46   -0.156765
47    0.233837
48    0.727524
49    0.557396
dtype: float32","[  -2.95377636   56.26952362    0.            0.            0.
  -80.22837067    0.          -91.68087769 -168.50906277    0.
    0.          -25.24447632   37.54335403    8.16384792   51.13706207
  136.7217865    -6.29693437   33.69823456  321.4458313   319.07196045
   34.03771973   48.65657043    0.            0.          -78.27635956
   91.63043213    0.          211.08003235    0.           46.85137177
   48.04610443    0.          238.89318848   -3.2707274   142.24241638
    0.          415.51754761   56.48197937  150.7833252    96.25347137
    0.            0.         -315.94789886  -76.64340973  -17.38734245
   35.1432724     0.           21.89980698  121.81968689   64.068367  ]"
5,2019-01-10,"0     0.351689
1     0.492398
2     0.200000
3    -0.340271
4     0.115119
5    -0.273710
6    -0.030919
7     0.497670
8    -0.216606
9    -0.579541
10   -0.888420
11    0.117923
12   -0.246077
13    0.857602
14   -0.017228
15    0.821544
16   -0.406677
17   -0.084704
18    0.413753
19    0.203367
20   -0.178959
21   -0.200000
22    0.153348
23    0.600000
24   -0.283284
25   -0.356260
26   -0.426257
27    0.528482
28   -0.436123
29    0.024342
30   -0.205399
31    0.051621
32    0.200000
33    0.147395
34    0.227649
35    0.149468
36    0.544864
37   -0.065856
38    0.600000
39    0.329444
40   -0.922691
41   -0.170086
42    0.356750
43    0.200000
44   -0.124731
45    0.445656
46   -0.141662
47    0.153107
48    0.345926
49   -0.037282
dtype: float32","[191.38087463  49.43881989 194.78369141   0.           0.
 -62.66815948   0.         225.31668091   0.           0.
   0.          15.37277699 -43.32022095   7.14498425  -5.75007582
 128.3381958    0.         -30.12116432 154.27967834  88.49293518
 -42.24697876 -48.65657043  35.37651062   0.         -93.27758789
 -91.63043213   0.         223.47106934   0.          11.57598019
 -63.4592514    0.         310.14483643  13.61781311 213.91607666
  19.65201759 569.08422852 -12.36424732 151.26686096 308.05834961
   0.           0.         508.32116699 145.40167236   0.
  30.10028648   0.          13.83938408  57.7499733   -4.22182178]"
6,2019-01-11,"0    -0.083894
1    -0.262894
2    -0.084985
3    -0.417715
4    -0.068971
5    -0.192499
6    -0.600000
7     0.217478
8    -0.131965
9    -0.019677
10   -0.109063
11    0.499250
12    0.493633
13    0.568780
14    0.475529
15   -0.540617
16   -0.394865
17   -0.515883
18    1.000000
19   -0.307773
20   -0.245555
21   -0.929148
22   -0.558880
23    0.077311
24    0.156935
25   -0.055232
26   -0.415767
27    0.288387
28   -0.101939
29    0.132013
30   -0.575711
31    0.006774
32   -0.200000
33    0.396823
34   -0.039578
35   -0.338181
36    0.200000
37    0.067385
38    0.459368
39    0.279661
40   -0.372927
41   -0.368245
42    0.326983
43    0.398670
44    0.029457
45    0.697526
46   -0.025710
47    0.097889
48    0.585706
49   -0.450958
dtype: float32","[ -45.79063416  -26.86746597  -83.05758667    0.            0.
    0.            0.           99.60977936    0.            0.
    0.           64.22754669   87.4981308     4.71841049  153.55583191
  -83.85352325    0.           -3.57707024  373.94641113 -135.07347107
  -59.68555832    0.          -35.37651062    0.           46.98355865
    0.            0.          122.85811615    0.           64.24071503
   -4.58101463    0.         -313.67630005   36.3115921   -37.88311768
  -19.65201759  210.49085999   12.87278652  115.98278046  262.88833618
    0.            0.          469.54644775  289.05062866    2.47566938
   47.20067215    0.            8.99967575   99.36585236  -51.90204239]"
7,2019-01-14,"0    -0.053821
1     0.600000
2    -0.347130
3    -0.425814
4     0.365025
5     0.582036
6    -0.200000
7     0.079982
8    -0.224872
9     0.061764
10   -0.385562
11    0.600000
12   -0.200000
13    0.663096
14    0.484918
15   -0.202926
16   -0.200000
17   -0.355479
18    0.355617
19   -0.037476
20   -0.464021
21   -0.937971
22    0.091263
23    0.050265
24   -0.087993
25    0.195960
26   -0.172097
27    0.720682
28    0.498285
29    0.488708
30    0.455763
31    0.200000
32   -0.034229
33    0.254484
34    0.600000
35   -0.199249
36    0.528585
37    0.600000
38    0.495584
39    0.506030
40   -0.738977
41    0.200000
42    0.472664
43    0.368557
44    0.200000
45    0.534536
46    0.200000
47    0.034652
48    0.536952
49   -0.031243
dtype: float32","[ -29.11312294   62.19343948 -111.72610474    0.          110.9571228
  369.12979126    0.           36.66404343    0.           13.57024765
    0.           77.63031006  -35.03780746    5.35281324  156.74159241
  -30.88500404    0.            0.          131.94261169  -16.47566414
  -20.45800471    0.           20.41788101    0.          -27.5134449
   92.75402069    0.          303.49099731  175.7583313   236.93330383
  141.99299622    0.          -53.37982559   23.05818748  562.77789307
    0.          554.18884277  115.03111267  124.20889282  474.8515625
    0.            0.          673.48327637  266.12911987   16.6480484
   36.17137146   27.32800484    3.14614797   90.21040344   -3.58939886]"
8,2019-01-15,"0     0.430964
1    -0.351144
2    -0.502471
3    -0.303886
4     0.365017
5     0.112157
6    -0.600000
7     0.490373
8     0.033855
9    -0.312158
10   -0.112302
11    0.404996
12    0.548408
13    0.624078
14   -0.200000
15   -0.205559
16    0.261699
17   -0.182976
18    0.901243
19    0.411529
20   -0.011797
21   -0.200000
22    0.009562
23    0.298103
24    0.404622
25   -0.143561
26   -0.377302
27    0.407583
28   -0.050238
29    0.600000
30    0.200000
31   -0.200000
32    0.470532
33    0.337030
34    0.412348
35   -0.121777
36    0.098705
37   -0.086500
38    0.929711
39   -0.061087
40   -0.644805
41   -0.316756
42    0.200000
43    0.058859
44   -0.179889
45    0.740963
46   -0.428564
47    0.192678
48    0.796003
49    0.600000
dtype: float32","[232.88821411 -37.32543564   0.           0.         110.7588501
  69.51774597   0.         228.99211121  32.29050827 -13.57024765
   0.          53.96247482  95.3962326    5.12882137 -64.90261078
 -31.596138    47.71738815   0.         337.25875854 185.54716492
   0.           0.           2.1688633    0.         124.65014648
 -66.89311218   0.         172.63288879 -17.91807747 294.16378784
  62.99014282   0.         740.08563232  31.04539108 392.4960022
   0.         104.2821579  -16.91730118 236.25021362 -57.72803879
   0.           0.         285.71429443  42.90835953 -15.50549984
  50.39054108 -27.32800484  17.61912155 141.90061951  72.17315674]"
9,2019-01-16,"0     0.133546
1    -0.164756
2     0.038217
3    -0.603715
4    -0.200000
5    -0.098602
6    -0.284559
7     0.114901
8    -0.254641
9    -0.211763
10   -0.962688
11    0.398476
12   -0.337886
13    0.271661
14    0.341806
15    0.384610
16   -0.475756
17   -0.280062
18    0.503168
19    0.370167
20   -0.242944
21   -0.161673
22   -0.384696
23    0.116184
24   -0.122962
25    0.170238
26   -0.176558
27    0.532895
28    0.220177
29    0.395127
30    0.519552
31   -0.116906
32    0.270510
33    0.141229
34    0.598561
35    0.029375
36    0.359470
37    0.339128
38    0.434240
39    0.427154
40   -0.522011
41   -0.121481
42   -0.145317
43    0.600000
44   -0.200000
45    0.795447
46    0.011014
47    0.301509
48    0.713691
49    0.445566
dtype: float32","[  71.81051636  -17.33562279   37.02801514    0.          -58.61802292
  -60.7539444     0.           54.06892014  -32.29050827    0.
    0.           51.10887146  -57.14194107    2.11288834  110.66487885
   56.64566422  -47.71738815    0.          179.17424011  163.15672302
    0.            0.          -22.58674431    0.          -35.8031311
   72.11841583    0.          222.40086365   77.51126099  190.15345764
  161.19049072    0.          421.85394287   12.68285751  555.34454346
    3.83894873  377.60244751   63.75927734  108.72799683  397.3381958
    0.            0.         -205.4647522   435.6159668    -3.61821795
   53.82690048    1.50472176   25.88849449  122.73787689   52.15174866]"
