,0
Annual return,0.43399114637628844
Cumulative returns,1.0040615198981988
Annual volatility,0.3017314108773005
Sharpe ratio,1.350127794095572
Calmar ratio,1.4810025704113203
Stability,0.9126566885526856
Max drawdown,-0.29303875296837306
Omega ratio,1.3056812852812212
Sortino ratio,1.9323870648605044
Skew,
Kurtosis,
Tail ratio,1.3671253731531228
Daily value at risk,-0.03639801328110604
