,0
Annual return,0.5123150859405805
Cumulative returns,1.2205112464526193
Annual volatility,0.41236349544824236
Sharpe ratio,1.2116182225479286
Calmar ratio,1.353271322794432
Stability,0.8716785279396442
Max drawdown,-0.37857529182150823
Omega ratio,1.2921876580630538
Sortino ratio,1.830414036416607
Skew,
Kurtosis,
Tail ratio,1.2906618603203637
Daily value at risk,-0.04997026975876875
