,0
Annual return,0.4755400005275323
Cumulative returns,1.1175518196716534
Annual volatility,0.3148945936134133
Sharpe ratio,1.3969812831846669
Calmar ratio,1.4798520148571992
Stability,0.9009143583385605
Max drawdown,-0.3213429422356264
Omega ratio,1.3124393981192657
Sortino ratio,2.040121996904838
Skew,
Kurtosis,
Tail ratio,1.3967696310534214
Daily value at risk,-0.03792734743390514
