,cash,asset_value,total_assets,reward,date
21,31639.240357680235,1023268.5555540634,1054907.7959117435,0.05490779591174344,2019-02-01
22,31639.240357680235,1053707.0633990853,1085346.3037567656,0.08534630375676566,2019-02-11
23,31639.240357680235,1079941.8286625396,1111581.0690202198,0.11158106902021991,2019-02-12
24,36639.24024778033,1081686.6017392622,1118325.8419870425,0.11832584198704255,2019-02-13
25,36639.24024778033,1107645.8840075668,1144285.124255347,0.14428512425534712,2019-02-14
26,46657.90964482623,1103554.669461815,1150212.5791066412,0.15021257910664132,2019-02-15
27,51657.90988398639,1076095.5015003227,1127753.4113843092,0.12775341138430907,2019-02-18
28,61657.91002761737,1109193.1156154159,1170851.0256430332,0.17085102564303312,2019-02-19
29,71657.90982676287,1102985.8168373131,1174643.726664076,0.17464372666407613,2019-02-20
30,76657.91008223162,1096770.5688815583,1173428.47896379,0.1734284789637901,2019-02-21
31,91657.90990586902,1087830.7815382422,1179488.6914441113,0.1794886914441114,2019-02-22
32,106657.90985833027,1121005.3751455375,1227663.285003868,0.227663285003868,2019-02-25
33,116657.90970385792,1194186.0986427641,1310844.008346622,0.3108440083466222,2019-02-26
34,11282.909762205994,1308752.1615245035,1320035.0712867095,0.3200350712867095,2019-02-27
35,24688.31672748157,1294047.1430443006,1318735.4597717822,0.3187354597717822,2019-02-28
36,34688.31711103412,1271078.084010698,1305766.401121732,0.30576640112173203,2019-03-01
37,44688.317031062805,1299867.8585850287,1344556.1756160916,0.34455617561609153,2019-03-04
38,49688.31695951129,1321635.4269274676,1371323.7438869788,0.37132374388697875,2019-03-05
39,64688.31684124957,1355251.6849308899,1419940.0017721395,0.4199400017721395,2019-03-06
40,79688.31664785357,1365448.774341091,1445137.0909889445,0.4451370909889445,2019-03-07
41,89688.31653459673,1367158.476385751,1456846.7929203478,0.4568467929203477,2019-03-08
42,99688.31636871386,1308970.8058588672,1408659.1222275812,0.4086591222275813,2019-03-11
43,102891.6478645589,1315029.7453153073,1417921.3931798663,0.4179213931798662,2019-03-12
44,102891.6478645589,1344397.6902830515,1447289.3381476104,0.4472893381476104,2019-03-13
45,107891.64792653095,1295635.592041779,1403527.23996831,0.4035272399683101,2019-03-14
46,112891.64791311084,1264343.8314617043,1377235.4793748152,0.37723547937481516,2019-03-15
47,112891.64791311084,1271378.3971764361,1384270.045089547,0.3842700450895471,2019-03-18
48,113329.83077696276,1310103.1473991596,1423432.9781761223,0.42343297817612235,2019-03-19
49,7559.760647515655,1410912.8741139395,1418472.6347614552,0.41847263476145513,2019-03-20
50,17559.760615791107,1385119.036482921,1402678.7970987123,0.40267879709871224,2019-03-21
51,22535.147518739104,1386251.109967112,1408786.2574858512,0.4087862574858512,2019-03-22
52,32482.831185272003,1371539.2057031123,1404022.0368883843,0.40402203688838423,2019-03-25
53,32482.831185272003,1353118.2865854392,1385601.1177707112,0.38560111777071127,2019-03-26
54,37482.8313529844,1331666.6501850162,1369149.4815380005,0.36914948153800053,2019-03-27
55,37482.8313529844,1333863.1810107543,1371346.0123637386,0.37134601236373865,2019-03-28
