,date,actions,transactions
0,2019-01-03,"0    -1.0
1     1.0
2    -1.0
3    -1.0
4    -1.0
5    -1.0
6     1.0
7     1.0
8    -1.0
9     1.0
10   -1.0
11    1.0
12    1.0
13    1.0
14    1.0
15    1.0
16   -1.0
17   -1.0
18    1.0
19    1.0
20    1.0
21   -1.0
22   -1.0
23    1.0
24    1.0
25    1.0
26    1.0
27    1.0
28   -1.0
29    1.0
30   -1.0
31    1.0
32    1.0
33    1.0
34   -1.0
35   -1.0
36   -1.0
37    1.0
38    1.0
39    1.0
40   -1.0
41    1.0
42   -1.0
43    1.0
44   -1.0
45    1.0
46   -1.0
47   -1.0
48    1.0
49    1.0
dtype: float32","[   0.          101.0221405     0.            0.            0.
    0.          215.42066956  469.36898804    0.          219.10316467
    0.          136.66281128  190.40438843    8.5697546   322.70349121
  168.67445374    0.            0.          385.83224487  459.3772583
  239.11546326    0.            0.            0.          360.73995972
  578.99853516  318.7149353   441.80929565    0.          487.98577881
    0.            0.         1563.9173584    95.3532486     0.
    0.            0.          195.07704163  256.9135437   953.45245361
    0.            0.            0.          744.269104      0.
   69.01368713    0.            0.          173.10261536  117.63321686]"
1,2019-01-04,"0    -1.0
1     1.0
2    -1.0
3    -1.0
4    -1.0
5    -1.0
6     1.0
7     1.0
8    -1.0
9     1.0
10    1.0
11    1.0
12   -1.0
13    1.0
14    1.0
15    1.0
16   -1.0
17   -1.0
18    1.0
19    1.0
20    1.0
21   -1.0
22   -1.0
23    1.0
24    1.0
25    1.0
26    1.0
27    1.0
28   -1.0
29    1.0
30   -1.0
31    1.0
32    1.0
33    1.0
34   -1.0
35   -1.0
36    1.0
37   -1.0
38    1.0
39    1.0
40   -1.0
41    1.0
42   -1.0
43    1.0
44   -1.0
45    1.0
46   -1.0
47   -1.0
48    1.0
49    1.0
dtype: float32","[   0.          102.40424347    0.            0.            0.
    0.          212.73698425  461.87243652    0.          223.17045593
  242.87289429  141.74705505 -190.40438843    8.70018864  316.57992554
  166.82571411    0.            0.          388.12643433  466.50494385
  260.52520752    0.            0.            0.          358.46920776
  551.96166992  320.1557312   444.87942505    0.          485.71984863
    0.            0.         1555.11315918   94.49687958    0.
    0.         1056.50170898 -191.37510681  254.23686218  953.45245361
    0.            0.            0.          739.10925293    0.
   69.5187912     0.            0.          176.32516479  118.82553101]"
2,2019-01-07,"0    -1.0
1     1.0
2    -1.0
3    -1.0
4    -1.0
5    -1.0
6     1.0
7     1.0
8    -1.0
9    -1.0
10    1.0
11    1.0
12    1.0
13    1.0
14    1.0
15    1.0
16   -1.0
17   -1.0
18    1.0
19    1.0
20    1.0
21   -1.0
22   -1.0
23    1.0
24    1.0
25    1.0
26    1.0
27    1.0
28   -1.0
29    1.0
30   -1.0
31    1.0
32   -1.0
33    1.0
34   -1.0
35   -1.0
36    1.0
37   -1.0
38    1.0
39    1.0
40   -1.0
41   -1.0
42   -1.0
43    1.0
44   -1.0
45    1.0
46   -1.0
47   -1.0
48    1.0
49    1.0
dtype: float32","[    0.           102.15756989     0.             0.
     0.             0.           207.48265076   449.40991211
     0.          -223.44171143   234.17120361   133.19268799
   190.33769226     8.52676296   317.08987427   159.81895447
     0.             0.           384.12783813   457.73294067
   243.18238831     0.             0.             0.
   349.27908325   501.83169556   313.42263794   439.91238403
     0.           471.68920898     0.             0.
 -1533.41308594    92.97741699     0.             0.
  1042.47021484    -3.70193481   250.14257812   931.82751465
     0.             0.             0.           731.00482178
     0.            69.44203186     0.             0.
   171.15492249   115.83190155]"
3,2019-01-08,"0    -1.0
1     1.0
2    -1.0
3    -1.0
4    -1.0
5    -1.0
6     1.0
7     1.0
8    -1.0
9     1.0
10    1.0
11    1.0
12   -1.0
13    1.0
14    1.0
15    1.0
16   -1.0
17   -1.0
18    1.0
19    1.0
20    1.0
21   -1.0
22   -1.0
23    1.0
24    1.0
25    1.0
26    1.0
27    1.0
28   -1.0
29    1.0
30    1.0
31   -1.0
32   -1.0
33    1.0
34   -1.0
35   -1.0
36   -1.0
37    1.0
38    1.0
39    1.0
40   -1.0
41   -1.0
42   -1.0
43    1.0
44   -1.0
45    1.0
46    1.0
47   -1.0
48    1.0
49    1.0
dtype: float32","[    0.           102.23966217     0.             0.
     0.             0.           207.40174866   451.99783325
     0.           224.80397034   234.38635254   135.13221741
  -188.35157776     8.47761536   318.52612305   154.18107605
     0.             0.           388.99304199   448.10494995
   238.31880188     0.             0.             0.
   339.99264526   497.90383911   313.77078247   436.54016113
     0.           467.88879395   309.14004517     0.
 -1542.02001953    93.45637512     0.             0.
 -1048.43786621   188.47370911   253.35697937   930.19793701
     0.             0.             0.           728.00335693
     0.            68.08047485   136.96153259     0.
   163.73043823   111.8358078 ]"
4,2019-01-09,"0    -1.0
1     1.0
2    -1.0
3    -1.0
4    -1.0
5    -1.0
6     1.0
7     1.0
8    -1.0
9     1.0
10   -1.0
11    1.0
12   -1.0
13    1.0
14    1.0
15    1.0
16   -1.0
17   -1.0
18    1.0
19    1.0
20    1.0
21   -1.0
22   -1.0
23    1.0
24    1.0
25    1.0
26    1.0
27    1.0
28   -1.0
29    1.0
30    1.0
31    1.0
32   -1.0
33    1.0
34   -1.0
35   -1.0
36    1.0
37    1.0
38    1.0
39    1.0
40   -1.0
41    1.0
42   -1.0
43    1.0
44   -1.0
45    1.0
46    1.0
47   -1.0
48    1.0
49    1.0
dtype: float32","[   0.          102.11667633    0.            0.            0.
    0.          209.86888123  458.40438843    0.          227.57891846
 -231.51255798  134.10578918   -1.9861145     8.48742867  337.18624878
  154.9095459     0.            0.          393.68838501  449.6807251
  243.65640259    0.            0.            0.          338.7052002
  477.33151245  307.46713257  436.91400146    0.          467.88879395
  309.32363892    0.          -43.59741211   94.29372406    0.
    0.         1056.50170898  191.44325256  256.39974976  933.46276855
    0.            0.            0.          727.00836182    0.
   67.48731232  138.24452209    0.          167.44416809  114.94226074]"
5,2019-01-10,"0    -1.0
1     1.0
2    -1.0
3    -1.0
4    -1.0
5    -1.0
6     1.0
7     1.0
8    -1.0
9     1.0
10   -1.0
11    1.0
12   -1.0
13    1.0
14    1.0
15    1.0
16   -1.0
17   -1.0
18    1.0
19    1.0
20    1.0
21   -1.0
22   -1.0
23    1.0
24    1.0
25   -1.0
26    1.0
27    1.0
28   -1.0
29    1.0
30   -1.0
31   -1.0
32   -1.0
33    1.0
34   -1.0
35   -1.0
36   -1.0
37    1.0
38    1.0
39    1.0
40   -1.0
41    1.0
42   -1.0
43    1.0
44   -1.0
45    1.0
46    1.0
47   -1.0
48    1.0
49    1.0
dtype: float32","[    0.           100.40422821     0.             0.
     0.             0.           205.94862366   452.7427063
     0.           219.45127869  -228.81095886   130.36245728
     0.             8.33135033   333.75610352   156.21582031
     0.             0.           372.87832642   435.13827515
   236.07064819     0.             0.             0.
   329.27230835  -455.92565918   306.6355896    422.85443115
     0.           475.55187988  -308.95666504     0.
     0.            92.38967896     0.             0.
 -1044.4519043    187.7454834    252.11143494   935.08630371
     0.             0.             0.           727.00836182
     0.            67.54155731   137.07568359     0.
   166.9432373    113.24002075]"
6,2019-01-11,"0    -1.0
1     1.0
2    -1.0
3    -1.0
4    -1.0
5    -1.0
6     1.0
7     1.0
8    -1.0
9     1.0
10    1.0
11    1.0
12    1.0
13    1.0
14    1.0
15   -1.0
16    1.0
17   -1.0
18    1.0
19    1.0
20    1.0
21   -1.0
22   -1.0
23    1.0
24    1.0
25    1.0
26    1.0
27    1.0
28   -1.0
29    1.0
30   -1.0
31    1.0
32    1.0
33    1.0
34   -1.0
35   -1.0
36   -1.0
37   -1.0
38    1.0
39    1.0
40   -1.0
41    1.0
42   -1.0
43    1.0
44   -1.0
45    1.0
46    1.0
47   -1.0
48    1.0
49    1.0
dtype: float32","[    0.           102.19869995     0.             0.
     0.             0.           204.7535553    458.02224731
     0.           222.63186646   227.58514404   128.64813232
   177.25341797     8.29566956   322.91604614  -155.10705566
   184.45011902     0.           373.94641113   438.87368774
   243.06416321     0.             0.             0.
   299.38146973   470.70343018   306.80117798   426.01776123
     0.           486.6227417   -309.50701904     0.
  1568.38146973    91.50587463     0.             0.
 -1052.4543457   -191.03291321   252.48316956   940.02630615
     0.             0.             0.           725.0369873
     0.            67.66870117   136.71549988     0.
   169.65139771   115.09281158]"
7,2019-01-14,"0    -1.0
1     1.0
2    -1.0
3    -1.0
4    -1.0
5    -1.0
6     1.0
7     1.0
8    -1.0
9     1.0
10   -1.0
11    1.0
12    1.0
13    1.0
14    1.0
15   -1.0
16    1.0
17   -1.0
18    1.0
19    1.0
20    1.0
21   -1.0
22    1.0
23    1.0
24    1.0
25    1.0
26    1.0
27    1.0
28   -1.0
29    1.0
30    1.0
31    1.0
32   -1.0
33    1.0
34   -1.0
35   -1.0
36   -1.0
37   -1.0
38    1.0
39    1.0
40   -1.0
41    1.0
42   -1.0
43    1.0
44   -1.0
45    1.0
46    1.0
47   -1.0
48    1.0
49    1.0
dtype: float32","[    0.           103.6557312      0.             0.
     0.             0.           200.03359985   458.40438843
     0.           219.71261597  -230.05006409   129.3838501
   175.18902588     8.0724535    323.23336792  -152.19866943
   182.33668518     0.           371.0244751    439.63000488
   244.48921204     0.           223.72665405     0.
   312.67782593   473.3324585    305.97320557   421.11645508
     0.           484.81558228   311.54977417     0.
 -1559.47851562    90.60778046     0.             0.
   -10.1295166   -191.71852112   250.6315918    938.38562012
     0.             0.             0.           722.08422852
     0.            67.66870117   136.64001465     0.
   168.00454712   114.88600922]"
8,2019-01-15,"0    -1.0
1     1.0
2    -1.0
3    -1.0
4    -1.0
5    -1.0
6     1.0
7     1.0
8    -1.0
9     1.0
10    1.0
11    1.0
12    1.0
13    1.0
14    1.0
15   -1.0
16    1.0
17   -1.0
18    1.0
19    1.0
20    1.0
21    1.0
22   -1.0
23    1.0
24    1.0
25    1.0
26    1.0
27    1.0
28   -1.0
29    1.0
30   -1.0
31    1.0
32   -1.0
33    1.0
34   -1.0
35   -1.0
36   -1.0
37   -1.0
38    1.0
39    1.0
40   -1.0
41    1.0
42   -1.0
43    1.0
44   -1.0
45    1.0
46   -1.0
47   -1.0
48    1.0
49    1.0
dtype: float32","[   0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
 -153.70852661    0.            0.            0.            0.
    0.            0.         -223.72665405    0.            0.
    0.            0.            0.            0.            0.
 -311.54977417    0.           -8.9029541     0.            0.
    0.            0.         -184.91101074    0.            0.
    0.            0.            0.            0.            0.
    0.         -138.22502136    0.            0.            0.        ]"
9,2019-01-16,"0    -1.0
1     1.0
2    -1.0
3    -1.0
4    -1.0
5    -1.0
6     1.0
7     1.0
8    -1.0
9     1.0
10   -1.0
11    1.0
12   -1.0
13    1.0
14    1.0
15    1.0
16   -1.0
17   -1.0
18    1.0
19    1.0
20    1.0
21   -1.0
22   -1.0
23    1.0
24    1.0
25    1.0
26    1.0
27    1.0
28   -1.0
29    1.0
30    1.0
31    1.0
32   -1.0
33    1.0
34   -1.0
35   -1.0
36   -1.0
37   -1.0
38    1.0
39    1.0
40   -1.0
41    1.0
42   -1.0
43    1.0
44   -1.0
45    1.0
46    1.0
47   -1.0
48    1.0
49    1.0
dtype: float32","[   0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
 -227.8901062     0.         -169.11602783    0.            0.
    0.         -178.31033325    0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]"
