,0
Annual return,0.3411953183713372
Cumulative returns,0.7614790572976957
Annual volatility,0.29139258802007906
Sharpe ratio,1.1570263771188272
Calmar ratio,1.6338027681991214
Stability,0.9061210468835065
Max drawdown,-0.20883507178006794
Omega ratio,1.2458318556759032
Sortino ratio,1.658354218509866
Skew,
Kurtosis,
Tail ratio,1.3464857994928014
Daily value at risk,-0.03537412282153725
