,cash,asset_value,total_assets,reward,date
0,1000000.0,0.0,1000000.0,0.0,2019-01-03
1,864595.0004368336,134963.4390105812,999558.4394474148,-0.0004415605525851518,2019-01-04
2,724115.5347196304,283065.7899875847,1007181.3247072151,0.007181324707214998,2019-01-07
3,588680.5348162514,420877.252075689,1009557.7868919403,0.009557786891940312,2019-01-08
4,463227.56170651386,543965.191527308,1007192.7532338218,0.007192753233821847,2019-01-09
5,357561.39140874543,658377.5018519287,1015938.8932606741,0.015938893260674103,2019-01-10
6,237236.795732901,773509.1936730613,1010745.9894059623,0.010745989405962275,2019-01-11
7,126683.2931715988,887772.1571747444,1014455.4503463432,0.014455450346343213,2019-01-14
8,6203.293658082777,995678.1797402167,1001881.4733982994,0.0018814733982994714,2019-01-15
9,21326.416968638714,1002973.0316829934,1024299.4486516321,0.02429944865163214,2019-01-16
10,46184.99104725504,977988.206998507,1024173.198045762,0.024173198045762012,2019-01-17
11,71184.99089305583,944929.2877663597,1016114.2786594155,0.016114278659415504,2019-01-18
12,76322.12730149241,953195.5298330628,1029517.6571345552,0.02951765713455523,2019-01-21
13,86322.12722644968,954381.0300136727,1040703.1572401223,0.04070315724012241,2019-01-22
14,101322.12688502054,924045.8796632447,1025368.0065482652,0.02536800654826532,2019-01-23
15,111322.1267792161,911338.9547918616,1022661.0815710777,0.022661081571077712,2019-01-24
16,116322.12669083719,923881.5515306282,1040203.6782214654,0.04020367822146542,2019-01-25
17,116322.12669083719,933736.4831784371,1050058.6098692743,0.05005860986927435,2019-01-28
18,126322.12657529154,923152.9447393006,1049475.0713145921,0.04947507131459217,2019-01-29
19,126322.12657529154,925253.6117494592,1051575.7383247507,0.0515757383247506,2019-01-30
20,1688.9127710579096,1038125.6588877016,1039814.5716587595,0.03981457165875946,2019-01-31
21,11672.073743845383,1039142.4783531264,1050814.5520969718,0.05081455209697183,2019-02-01
22,11672.073743845383,1063023.3403584037,1074695.414102249,0.07469541410224911,2019-02-11
23,16672.07370897905,1078327.6277285384,1094999.7014375173,0.09499970143751724,2019-02-12
24,26672.073567940537,1075375.9776473052,1102048.0512152459,0.10204805121524596,2019-02-13
25,38531.70176150896,1092795.6237424316,1131327.3255039407,0.13132732550394066,2019-02-14
26,43531.701578238695,1089404.5317905792,1132936.233368818,0.132936233368818,2019-02-15
27,53531.70193663713,1059225.9219965409,1112757.623933178,0.11275762393317801,2019-02-18
28,63531.701808518235,1085667.9626723053,1149199.6644808236,0.14919966448082356,2019-02-19
29,64048.411623435226,1082742.4260378089,1146790.8376612442,0.14679083766124412,2019-02-20
30,64553.809409650436,1082643.9123409996,1147197.72175065,0.14719772175065016,2019-02-21
31,69707.25860391618,1080766.9509784963,1150474.2095824126,0.15047420958241253,2019-02-22
32,74707.25844331132,1111335.889330368,1186043.1477736793,0.18604314777367925,2019-02-25
33,89707.25846541062,1171888.5687349844,1261595.827200395,0.2615958272003951,2019-02-26
34,89707.25846541062,1170266.9157137407,1259974.1741791514,0.2599741741791515,2019-02-27
35,89707.25846541062,1175719.112653611,1265426.3711190217,0.2654263711190217,2019-02-28
36,94707.25855694505,1160504.8038494287,1255212.0624063737,0.2552120624063736,2019-03-01
37,94707.25855694505,1191326.2804708495,1286033.5390277945,0.2860335390277946,2019-03-04
38,94707.25855694505,1212179.9990060404,1306887.2575629854,0.3068872575629855,2019-03-05
39,94707.25855694505,1245698.3862401946,1340405.6447971396,0.34040564479713953,2019-03-06
40,94707.25855694505,1261195.6590832006,1355902.9176401456,0.3559029176401456,2019-03-07
41,114707.25866774216,1239578.3224315636,1354285.5810993058,0.35428558109930575,2019-03-08
42,9242.258800808688,1312427.7915650806,1321670.0503658892,0.32167005036588914,2019-03-11
43,33653.29512169492,1293060.589873026,1326713.8849947208,0.32671388499472087,2019-03-12
44,43523.10190687253,1308862.5399927848,1352385.6418996574,0.3523856418996574,2019-03-13
45,53523.10197039334,1267387.6983972797,1320910.8003676732,0.32091080036767305,2019-03-14
46,73092.26034809567,1235115.3603687035,1308207.620716799,0.30820762071679897,2019-03-15
47,73092.26034809567,1240446.8863080535,1313539.146656149,0.313539146656149,2019-03-18
48,78178.2703896423,1271662.3419776752,1349840.6123673175,0.34984061236731745,2019-03-19
49,83095.93283182522,1261089.8449854103,1344185.7778172356,0.34418577781723547,2019-03-20
50,83095.93283182522,1255955.9049813275,1339051.8378131527,0.3390518378131526,2019-03-21
51,83095.93283182522,1254677.806476803,1337773.7393086283,0.3377737393086282,2019-03-22
52,88095.93288122403,1246596.2119067684,1334692.1447879924,0.33469214478799225,2019-03-25
53,88095.93288122403,1226304.8811733108,1314400.8140545348,0.3144008140545347,2019-03-26
54,88095.93288122403,1214928.797148737,1303024.7300299609,0.3030247300299609,2019-03-27
55,88095.93288122403,1216347.0594378158,1304442.9923190398,0.3044429923190397,2019-03-28
56,88095.93288122403,1203101.6394654936,1291197.5723467176,0.2911975723467175,2019-03-29
57,88095.93288122403,1249189.787682437,1337285.720563661,0.337285720563661,2019-04-01
58,88095.93288122403,1289532.1968795874,1377628.1297608113,0.3776281297608113,2019-04-02
59,88095.93288122403,1290613.1533755038,1378709.0862567278,0.3787090862567277,2019-04-03
60,88095.93288122403,1226705.7707759854,1314801.7036572094,0.3148017036572095,2019-04-04
61,88095.93288122403,1326299.8230188456,1414395.7559000696,0.4143957559000695,2019-04-08
62,88095.93288122403,1305274.46657404,1393370.399455264,0.393370399455264,2019-04-09
63,88095.93288122403,1309004.4788439954,1397100.4117252193,0.39710041172521926,2019-04-10
64,88095.93288122403,1310751.354241284,1398847.287122508,0.39884728712250794,2019-04-11
65,88095.93288122403,1273967.8131534336,1362063.7460346576,0.36206374603465763,2019-04-12
66,88095.93288122403,1273708.4330762255,1361804.3659574494,0.36180436595744947,2019-04-15
67,88095.93288122403,1270221.0947856214,1358317.0276668454,0.35831702766684526,2019-04-16
68,88095.93288122403,1317237.3629362644,1405333.2958174883,0.40533329581748845,2019-04-17
69,88095.93288122403,1314895.7242372576,1402991.6571184816,0.4029916571184815,2019-04-18
70,93095.93274511563,1301389.1218186992,1394485.0545638148,0.3944850545638148,2019-04-19
71,113095.93259168774,1286531.6456056423,1399627.57819733,0.39962757819732997,2019-04-22
72,118095.93251844251,1266623.295531392,1384719.2280498347,0.3847192280498348,2019-04-23
73,123095.93249783704,1269255.607742795,1392351.5402406321,0.3923515402406321,2019-04-24
74,123095.93249783704,1285000.1167356023,1408096.0492334394,0.40809604923343934,2019-04-25
75,123095.93249783704,1262139.264929991,1385235.197427828,0.3852351974278281,2019-04-26
76,123095.93249783704,1254031.9541704175,1377127.8866682546,0.3771278866682546,2019-04-29
77,123095.93249783704,1234153.2415004324,1357249.1739982695,0.3572491739982695,2019-04-30
78,123095.93249783704,1222196.561061181,1345292.493559018,0.34529249355901803,2019-05-06
79,7690.9323755131745,1197242.7150114921,1204933.6473870054,0.20493364738700537,2019-05-07
80,12257.13358564501,1261985.008284357,1274242.141870002,0.27424214187000207,2019-05-08
81,12257.13358564501,1245679.0219704814,1257936.1555561265,0.2579361555561266,2019-05-09
82,12257.13358564501,1228821.9860294322,1241079.1196150773,0.24107911961507722,2019-05-10
83,12257.13358564501,1283301.346187443,1295558.4797730881,0.29555847977308813,2019-05-13
84,17064.41693804369,1251840.0570591101,1268904.4739971538,0.2689044739971538,2019-05-14
85,17064.41693804369,1242194.0551748718,1259258.4721129155,0.2592584721129154,2019-05-15
86,17064.41693804369,1261224.6960709419,1278289.1130089855,0.2782891130089855,2019-05-16
87,17064.41693804369,1254843.1496605806,1271907.5665986242,0.27190756659862414,2019-05-17
88,22064.417043488025,1221855.7239742624,1243920.1410177504,0.24392014101775028,2019-05-20
89,22064.417043488025,1215558.6378185947,1237623.0548620827,0.2376230548620828,2019-05-21
90,27064.416907843493,1222185.9853119487,1249250.4022197921,0.2492504022197921,2019-05-22
91,27064.416907843493,1231976.211547136,1259040.6284549795,0.25904062845497955,2019-05-23
92,31417.76405528612,1202760.2141077237,1234177.9781630097,0.23417797816300978,2019-05-24
93,35963.09097778673,1193828.7624781295,1229791.8534559163,0.22979185345591624,2019-05-27
94,40963.091194873516,1218822.7111039115,1259785.802298785,0.2597858022987849,2019-05-28
95,45378.8942219304,1223280.8582244352,1268659.7524463655,0.26865975244636564,2019-05-29
96,45378.8942219304,1221989.7508695717,1267368.645091502,0.26736864509150204,2019-05-30
97,50378.89430276994,1206859.097207295,1257237.991510065,0.2572379915100651,2019-05-31
98,50378.89430276994,1201673.3933821924,1252052.2876849624,0.25205228768496246,2019-06-03
99,55378.89438763017,1204184.497036057,1259563.3914236873,0.25956339142368723,2019-06-04
100,60378.89422884721,1189157.1023487162,1249535.9965775635,0.24953599657756342,2019-06-05
101,60378.89422884721,1105327.4565914099,1165706.350820257,0.1657063508202572,2019-06-06
102,65378.89416555375,1168891.2967868538,1234270.1909524077,0.23427019095240764,2019-06-10
103,70378.89418459672,1173337.8176699737,1243716.7118545705,0.24371671185457044,2019-06-11
104,75378.89420481157,1211012.8087900218,1286391.7029948335,0.2863917029948335,2019-06-12
105,75378.89420481157,1202256.9626722282,1277635.85687704,0.27763585687703984,2019-06-13
106,75378.89420481157,1203613.548979094,1278992.4431839057,0.2789924431839057,2019-06-14
107,75378.89420481157,1189058.6152510191,1264437.5094558308,0.2644375094558309,2019-06-17
108,75378.89420481157,1187813.6926502322,1263192.586855044,0.263192586855044,2019-06-18
109,80378.89404451799,1183250.4185429986,1263629.3125875166,0.26362931258751665,2019-06-19
110,85378.89397881365,1206767.067724837,1292145.9617036507,0.2921459617036506,2019-06-20
111,85378.89397881365,1251474.6409866961,1336853.5349655098,0.33685353496550974,2019-06-21
112,85378.89397881365,1273456.2286543977,1358835.1226332113,0.3588351226332114,2019-06-24
113,85378.89397881365,1267945.7585230619,1353324.6525018755,0.3533246525018756,2019-06-25
114,85378.89397881365,1258281.0188591126,1343659.9128379263,0.3436599128379263,2019-06-26
115,90378.89411839799,1249937.0392640892,1340315.9333824872,0.3403159333824872,2019-06-27
116,90378.89411839799,1260771.6687979128,1351150.5629163107,0.35115056291631075,2019-06-28
117,90378.89411839799,1250680.3956148282,1341059.2897332262,0.3410592897332261,2019-07-01
118,90378.89411839799,1294480.8468787903,1384859.7409971883,0.38485974099718834,2019-07-02
119,90378.89411839799,1280614.7419260931,1370993.636044491,0.370993636044491,2019-07-03
120,95378.89429210404,1265734.4562850907,1361113.3505771947,0.3611133505771946,2019-07-04
121,95378.89429210404,1260063.5622369312,1355442.4565290352,0.3554424565290353,2019-07-05
122,100378.89417283372,1261978.381664534,1362357.2758373679,0.3623572758373679,2019-07-08
123,100378.89417283372,1235030.1894988865,1335409.0836717202,0.3354090836717203,2019-07-09
124,103260.18226113023,1231868.1175716203,1335128.2998327506,0.3351282998327505,2019-07-10
125,103260.18226113023,1238346.0243569112,1341606.2066180415,0.3416062066180414,2019-07-11
126,103260.18226113023,1232871.6389503854,1336131.8212115157,0.33613182121151564,2019-07-12
127,103260.18226113023,1229882.8132003231,1333142.9954614535,0.33314299546145354,2019-07-15
128,103260.18226113023,1252700.872462873,1355961.0547240034,0.3559610547240035,2019-07-16
129,103260.18226113023,1255333.3524405402,1358593.5347016705,0.35859353470167044,2019-07-17
130,103260.18226113023,1254372.0785531509,1357632.2608142812,0.35763226081428123,2019-07-18
131,103260.18226113023,1238425.976402688,1341686.1586638184,0.34168615866381846,2019-07-19
132,103260.18226113023,1248373.4639853865,1351633.6462465168,0.35163364624651683,2019-07-22
133,103260.18226113023,1236772.206527143,1340032.3887882733,0.34003238878827324,2019-07-23
134,123260.18245311326,1237319.2509268206,1360579.4333799337,0.3605794333799337,2019-07-24
135,128260.18255404709,1253973.699569308,1382233.882123355,0.3822338821233551,2019-07-25
136,133260.1824980214,1266177.0869435146,1399437.2694415362,0.39943726944153624,2019-07-26
137,138260.1824858174,1264499.3864926617,1402759.5689784791,0.4027595689784791,2019-07-29
138,2825.181982010272,1402494.9129884648,1405320.0949704752,0.40532009497047516,2019-07-30
139,7804.344032722857,1387296.7040168804,1395101.0480496031,0.3951010480496031,2019-07-31
140,22652.33441675301,1364258.413374326,1386910.7477910789,0.3869107477910789,2019-08-01
141,32629.329508369832,1343364.7128524533,1375994.0423608231,0.37599404236082323,2019-08-02
142,32629.329508369832,1321267.9596729758,1353897.2891813456,0.35389728918134566,2019-08-05
143,32629.329508369832,1294765.6968454048,1327395.0263537746,0.3273950263537746,2019-08-06
144,37684.25651158638,1274232.6380032771,1311916.8945148636,0.3119168945148636,2019-08-07
145,42684.256298720175,1255326.715111939,1298010.9714106591,0.29801097141065913,2019-08-08
146,52684.25595479927,1267280.9235350164,1319965.1794898156,0.3199651794898155,2019-08-09
147,52684.25595479927,1255133.1143028152,1307817.3702576144,0.30781737025761435,2019-08-12
148,57684.25593916435,1287923.2863937665,1345607.542332931,0.345607542332931,2019-08-13
149,77248.10250444451,1252187.9517013829,1329436.0542058274,0.32943605420582744,2019-08-14
150,77248.10250444451,1260439.8320517656,1337687.9345562102,0.33768793455621027,2019-08-15
151,77248.10250444451,1272067.4482682534,1349315.550772698,0.34931555077269794,2019-08-16
152,77248.10250444451,1282337.0939006465,1359585.196405091,0.3595851964050911,2019-08-19
153,77248.10250444451,1334413.0447173906,1411661.147221835,0.411661147221835,2019-08-20
154,87248.10237531853,1328978.5599847224,1416226.662360041,0.416226662360041,2019-08-21
155,92248.10231426964,1345534.1342136674,1437782.236527937,0.4377822365279369,2019-08-22
156,117248.10211200829,1317772.4090386217,1435020.51115063,0.43502051115063,2019-08-23
157,122248.10207178154,1311746.9494182598,1433995.0514900414,0.4339950514900415,2019-08-26
158,127248.10225513115,1301165.4388702922,1428413.5411254233,0.4284135411254233,2019-08-27
159,127248.10225513115,1333746.5656162195,1460994.6678713507,0.46099466787135057,2019-08-28
160,132191.31352095603,1317046.7727664555,1449238.0862874116,0.4492380862874117,2019-08-29
161,16816.313209474018,1454280.0931673937,1471096.4063768678,0.4710964063768679,2019-08-30
162,21816.31344835217,1431470.3456061315,1453286.6590544838,0.45328665905448373,2019-09-02
163,21876.88579593451,1478652.8933574571,1500529.7791533917,0.5005297791533918,2019-09-03
164,36876.88629476264,1484597.2077508061,1521474.0940455687,0.5214740940455687,2019-09-04
165,42140.18920129798,1502931.944487136,1545072.133688434,0.5450721336884341,2019-09-05
166,47140.18899904654,1536738.2790100744,1583878.468009121,0.5838784680091209,2019-09-06
167,47140.18899904654,1542791.6427925997,1589931.8317916463,0.5899318317916462,2019-09-09
168,57140.18896678946,1600678.3323826739,1657818.5213494634,0.6578185213494634,2019-09-10
169,67140.18881896231,1583685.6514477942,1650825.8402667565,0.6508258402667564,2019-09-11
170,92140.18892403776,1553191.6416258332,1645331.830549871,0.645331830549871,2019-09-12
171,107140.18871089384,1542132.8505985679,1649273.0393094616,0.6492730393094617,2019-09-16
172,107140.18871089384,1536641.4898267002,1643781.678537594,0.6437816785375938,2019-09-17
173,107140.18871089384,1524418.144563713,1631558.3332746068,0.6315583332746069,2019-09-18
174,107905.00219417478,1515605.4824746856,1623510.4846688604,0.6235104846688604,2019-09-19
175,127868.95760517694,1534397.9502019826,1662266.9078071595,0.6622669078071595,2019-09-20
176,137868.95746023447,1563335.0598429006,1701204.017303135,0.7012040173031351,2019-09-23
177,147868.95742279018,1570424.7038375114,1718293.6612603015,0.7182936612603015,2019-09-24
178,7388.955859281751,1697654.2013111955,1705043.1571704773,0.7050431571704774,2019-09-25
179,27388.95620253355,1629448.4508186863,1656837.4070212198,0.6568374070212197,2019-09-26
180,42586.07264245741,1569671.111001648,1612257.1836441054,0.6122571836441055,2019-09-27
181,87240.98554404298,1546747.3155305334,1633988.3010745763,0.6339883010745764,2019-09-30
182,103711.00543932364,1487327.3660910912,1591038.3715304148,0.5910383715304148,2019-10-08
183,103731.25777812979,1474255.0630758791,1577986.320854009,0.5779863208540088,2019-10-09
184,108704.9277791857,1495182.1596932097,1603887.0874723955,0.6038870874723956,2019-10-10
185,108704.9277791857,1515865.3072260707,1624570.2350052563,0.6245702350052562,2019-10-11
186,113704.92776276419,1516059.8485069945,1629764.7762697588,0.6297647762697589,2019-10-14
187,113704.92776276419,1545372.6618991708,1659077.589661935,0.6590775896619352,2019-10-15
188,113704.92776276419,1511951.5906763012,1625656.5184390654,0.6256565184390654,2019-10-16
189,123704.92781195203,1490149.6878127616,1613854.6156247137,0.6138546156247138,2019-10-17
190,128704.92777755376,1489595.7129416794,1618300.640719233,0.6183006407192331,2019-10-18
191,133483.43656942388,1443853.1996731057,1577336.6362425296,0.5773366362425296,2019-10-21
192,3053.061757637561,1574564.9261557136,1577617.9879133513,0.5776179879133512,2019-10-22
193,22869.445113368,1580002.5372762857,1602871.9823896538,0.6028719823896538,2019-10-23
194,27979.801214041676,1567286.3665006855,1595266.167714727,0.5952661677147271,2019-10-24
195,37979.80144617516,1551180.5667648327,1589160.368211008,0.5891603682110078,2019-10-25
196,42979.801307747424,1565864.9826620284,1608844.7839697758,0.6088447839697757,2019-10-28
197,47979.80154445396,1591837.8004126973,1639817.6019571512,0.6398176019571511,2019-10-29
198,47979.80154445396,1561616.5993887887,1609596.4009332426,0.6095964009332426,2019-10-30
199,72979.80125675141,1547625.1171009974,1620604.9183577488,0.6206049183577487,2019-10-31
200,77877.04288772104,1547703.570599795,1625580.613487516,0.6255806134875161,2019-11-01
201,92934.35764248273,1548061.5160585146,1640995.8737009973,0.6409958737009973,2019-11-04
202,92934.35764248273,1583694.0642979385,1676628.4219404212,0.6766284219404213,2019-11-05
203,97934.35781576401,1614355.7578142423,1712290.1156300062,0.7122901156300061,2019-11-06
204,102934.35772508351,1595926.9173960781,1698861.2751211617,0.6988612751211618,2019-11-07
205,112934.35754467465,1586373.7637311812,1699308.1212758557,0.6993081212758556,2019-11-08
206,112934.35754467465,1577818.3387955343,1690752.6963402089,0.6907526963402089,2019-11-11
207,117934.3575674341,1550724.8637472894,1668659.2213147236,0.6686592213147236,2019-11-12
208,117934.3575674341,1545397.085262697,1663331.4428301312,0.6633314428301311,2019-11-13
209,122934.35747005098,1577076.3898652075,1700010.7473352584,0.7000107473352584,2019-11-14
210,132934.3574598257,1583938.1695891018,1716872.5270489275,0.7168725270489276,2019-11-15
211,142934.357526,1565138.74892928,1708073.10645528,0.7080731064552799,2019-11-18
212,147934.35729772624,1556607.6017335649,1704541.959031291,0.7045419590312911,2019-11-19
213,7484.357565923779,1715306.7857469402,1722791.143312864,0.722791143312864,2019-11-20
214,32484.357606950565,1656445.4626358766,1688929.8202428273,0.6889298202428273,2019-11-21
215,52495.871144359015,1642734.4729533128,1695230.3440976718,0.6952303440976717,2019-11-22
216,67134.26765802612,1623155.4892190727,1690289.756877099,0.6902897568770989,2019-11-25
217,72277.42403093414,1593891.8988138188,1666169.322844753,0.6661693228447529,2019-11-26
218,72415.67729141311,1606878.5027507313,1679294.1800421444,0.6792941800421444,2019-11-27
219,72415.67729141311,1640959.6226044202,1713375.2998958332,0.7133752998958331,2019-11-28
220,77415.67714593543,1637173.2174929022,1714588.8946388375,0.7145888946388375,2019-11-29
221,77415.67714593543,1626320.700390736,1703736.3775366715,0.7037363775366714,2019-12-02
222,87415.67706770172,1645756.8399453345,1733172.5170130362,0.7331725170130361,2019-12-03
223,97415.6768024208,1671207.729608595,1768623.4064110157,0.7686234064110156,2019-12-04
224,107465.4677442337,1651784.0336872046,1759249.5014314384,0.7592495014314384,2019-12-05
225,117465.46763911303,1649605.029538662,1767070.497177775,0.7670704971777751,2019-12-06
226,127082.10580839861,1655682.5618758444,1782764.667684243,0.782764667684243,2019-12-09
227,137082.1060429964,1645391.5267676814,1782473.6328106779,0.7824736328106778,2019-12-10
228,11647.104960190543,1789186.7963585625,1800833.9013187531,0.8008339013187531,2019-12-11
229,36636.98872749973,1774809.903355108,1811446.8920826078,0.8114468920826079,2019-12-12
