,0
Annual return,0.5101716906435763
Cumulative returns,1.2144457994504063
Annual volatility,0.6614960157190414
Sharpe ratio,0.9457850947117993
Calmar ratio,1.0517033729236795
Stability,0.8378361190995265
Max drawdown,-0.4850908571542621
Omega ratio,1.2884022495248595
Sortino ratio,1.53649928420957
Skew,
Kurtosis,
Tail ratio,1.4191267736516542
Daily value at risk,-0.08085799340616495
